Event Name,Rehearsal/Setup Date,Call Time,Type,Description,Staff,Series,Venue,Event ID,
Emerging Artists: LOVESICK,1/6/2026,11:30 AM,Setup / Prep,"Reboot Tech, Clean","Seth, Nik, Ethan",,,1he10nv94n25rkjaj2cjduruio@google.com,Current Instructions:
Mansfield Symphony: Holiday Pops,1/6/2026,2:00 PM,Strike,Symphony Strike,"Seth, Nik, Ethan, Jason, Noah",,,kcfs7lrsupd8s68f7bnlhshlmg@google.com,Copy events from lineup
The Frontmen,1/6/2026,3:30 PM,Setup / Prep,Frontmen Setup,"Seth, Ethan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,insert rehearsals and calls
The Frontmen,1/7/2026,3:30 PM,Setup / Prep,Frontmen Setup,"Seth, Ethan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
Emerging Artists: LOVESICK,1/7/2026,7:30 PM,Show Time,Emerging Artists: LOVESICK,Nik,Innovation,Theatre 166,1he10nv94n25rkjaj2cjduruio@google.com,
The Frontmen,1/8/2026,3:30 PM,Setup / Prep,Frontmen Setup,"Seth, Ethan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/9/2026,3:30 PM,Setup / Prep,Frontmen Setup,"Seth, Ethan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
Emerging Artists: BEULAH-JOYCE,1/21/2026,7:30 PM,Show Time,Emerging Artists: BEULAH-JOYCE,Nik,Innovation,Theatre 166,4igq7if96be9jrnbqb1qlu7pkk@google.com,
The Frontmen,1/10/2026,,Out of Office,,Ethan,,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/10/2026,11:45 AM,Crew Call,,"Seth, Nik, Jason, Noah, Ryan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
The Frontmen,1/10/2026,12:00 PM,Load In,,"Seth, Nik, Jason, Noah, Ryan",,,uvfslksqpvbq7j7jfhs002ivng@google.com,
