Event ID,Title,Date,Start,End,Location,Description,Source,Last Synced,,Push
m31khfm5uvm1onhuvqjvsgi3l4@google.com,Emerging Artists,1/5/2026 0:00:00,12:00 AM,1/6/2026 0:00:00,Theatre 166,,Sheet 8,1/2/2026 19:44:44,Synced,FALSE
6hnoasrapt94cr8dd6omthl2oc@google.com,Pioneer Tech Class,1/5/2026 12:00:00,12:00 PM,1/5/2026 13:00:00,,Classroom | Pioneer,Calls,1/3/2026 13:04:26,Synced,TRUE
gp5rmmqvq29fafbnd0rstv474g@google.com,RYOT Rehearsal,1/5/2026 16:00:00,4:00 PM,1/5/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:44:46,Synced,FALSE
1he10nv94n25rkjaj2cjduruio@google.com,Setup / Prep | Emerging Artists,1/6/2026 11:30:00,11:30 AM,1/6/2026 12:45:00,Theatre 166,<ul><li>Reboot Tech</li><li>Clean</li><li>Sweep Booth</li><li>Seating Layout</li></ul>,Calls,1/3/2026 13:04:27,Synced,FALSE
kcfs7lrsupd8s68f7bnlhshlmg@google.com,Symphony Strike,1/6/2026 13:30:00,1:30 PM,1/6/2026 15:00:00,,Strike | Mansfield Symphony: Holiday Pops,Calls,1/3/2026 13:04:28,Synced,FALSE
uvfslksqpvbq7j7jfhs002ivng@google.com,Frontmen Setup,1/6/2026 15:00:00,3:00 PM,1/6/2026 16:00:00,Main Stage,Setup / Prep | The Frontmen,Calls,1/3/2026 13:04:29,Synced,FALSE
7d82obbkh8qc0dv5rmp9l8u310@google.com,RYOT Rehearsal,1/6/2026 16:00:00,4:00 PM,1/6/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:44:49,Synced,FALSE
2kd4p424tstrco8b0tim6v0ptg@google.com,Frontmen Setup,1/7/2026 0:00:00,3:30 PM,1/7/2026 16:30:00,Main Stage,Setup / Prep | The Frontmen,Calls,1/2/2026 19:44:50,Synced,FALSE
sct10bjb5k61235s9kh78mfso0@google.com,RYOT Rehearsal,1/7/2026 16:00:00,4:00 PM,1/7/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:44:51,Synced,FALSE
ka1d6p9ohss2g1e62vpstb2hoc@google.com,Emerging Artists: LOVESICK,1/7/2026 19:30:00,7:30 PM,1/7/2026 21:30:00,Theatre 166,Show Time | Emerging Artists: LOVESICK,Calls,1/2/2026 19:44:52,Synced,FALSE
ul81spte1qm9qs41tvf32o6vsg@google.com,Frontmen Setup,1/8/2026 0:00:00,10:30 AM,1/8/2026 16:30:00,Main Stage,Setup / Prep | The Frontmen,Calls,1/2/2026 19:44:53,Synced,FALSE
mnmb1nakn76mgnihb494s431ps@google.com,RYOT Rehearsal,1/8/2026 16:00:00,4:00 PM,1/8/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:44:54,Synced,FALSE
i66e9b703f6het7eoio4qtjne0@google.com,Building Walkthrough,1/9/2026 12:15:00,12:15 PM,1/9/2026 13:00:00,Main Stage,,Sheet 8,1/2/2026 19:44:55,Synced,FALSE
r4pnslit7jrpoasiqtg0vfob80@google.com,Frontmen Setup,1/9/2026 0:00:00,3:30 PM,1/9/2026 16:30:00,Main Stage,Setup / Prep | The Frontmen,Calls,1/2/2026 19:44:56,Synced,FALSE
c1tok8noppj6bdm4litfrehq00@google.com,RYOT Rehearsal,1/9/2026 16:00:00,4:00 PM,1/9/2026 19:00:00,Ballroom,,Sheet 8,1/2/2026 19:44:56,Synced,FALSE
4igq7if96be9jrnbqb1qlu7pkk@google.com,Emerging Artists: BEULAH-JOYCE,1/21/2026 19:30:00,7:30 PM,1/21/2026 21:30:00,Theatre 166,Show Time | Emerging Artists: BEULAH-JOYCE,Calls,1/8/2026 11:03:13,Synced,FALSE
hbks5cc5529b9ftne3ik0i5qds@google.com,Ethan OUT,1/10/2026 0:00:00,12:00 AM,1/11/2026 0:00:00,Main Stage,Out of Office | The Frontmen,Calls,1/6/2026 11:39:57,Synced,FALSE
hjbtq4brk4br3j4snrva06hljk@google.com,The Frontmen,1/10/2026 0:00:00,11:45 AM,1/10/2026 12:00:00,Main Stage,Crew Call | The Frontmen,Calls,1/2/2026 19:44:59,Synced,FALSE
dnim0rt2j5u9h9mbvd5opoi1us@google.com,Load In | The Frontmen,1/10/2026 12:00:00,12:00 PM,1/10/2026 13:00:00,Main Stage,Load In | The Frontmen,Calls,1/2/2026 19:45:01,Synced,FALSE
j9rbedsvfcjs5uk8db93cabaas@google.com,Frontmen Sound,1/10/2026 0:00:00,2:30 PM,1/10/2026 15:45:00,Main Stage,Sound Check | The Frontmen,Calls,1/6/2026 11:39:59,Synced,FALSE
