Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
Broadway Camp Showz! (2025),6/23/2025,"Performance: Friday, June 27, 2024 at 4:00pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/27/2024,4:00 PM,Success
Pictures on the Plaza: The Princess Bride,6/11/2025,"Wednesday, June 11, 2025 at 8:30pm",,1,FALSE,Cinema,Plaza,,FALSE,TRUE,TRUE,06/11/2025,8:30 PM,Success
Broadway Camp! (2025),6/16/2025,"Monday, June 16, 2025 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/16/2025,8:30 AM,Success
Broadway Camp! (2025),6/16/2025,"Tuesday, June 17, 2025 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/17/2025,8:30 AM,Success
Broadway Camp! (2025),6/16/2025,"Wednesday, June 18, 2025 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/18/2025,8:30 AM,Success
Miss Ohio Scholarship Program (2025),6/18/2025,"Wednesday, June 18, 2025 at 7:00pm",,4,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,06/18/2025,7:00 PM,Success
Miss Ohio Scholarship Program (2025),6/18/2025,"Thursday, June 19, 2025 at 7:00pm",,4,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,06/19/2025,7:00 PM,Success
Broadway Camp! (2025),6/16/2025,"Friday, June 20, 2025 at 8:30am–12:00pm",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/20/2025,8:30 AM,Success
Broadway Camp! (2025),6/16/2025,"Performance: Friday, June 20, 2025 at 12:00pm",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/20/2025,12:00 PM,Success
Miss Ohio Scholarship Program (2025),6/18/2025,"Friday, June 20, 2025 at 7:00pm",,4,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,06/20/2025,7:00 PM,Success
Miss Ohio Scholarship Program (2025),6/18/2025,"Saturday, June 21, 2025 at 7:00pm",,4,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,06/21/2025,7:00 PM,Success
Broadway Camp Showz! (2025),6/23/2025,"Monday, June 23, 2025 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/23/2025,8:30 AM,Success
Broadway Camp Showz! (2025),6/23/2025,"Tuesday, June 24, 2025 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/24/2025,8:30 AM,Success
Broadway Camp Showz! (2025),6/23/2025,"Wednesday, June 25, 2025 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/25/2025,8:30 AM,Success
Broadway Camp Showz! (2025),6/23/2025,"Thursday, June 26, 2025 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/26/2025,8:30 AM,Success
Broadway Camp Showz! (2025),6/23/2025,"Friday, June 27, 2025 at 8:30am–4:00pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/27/2025,8:30 AM,Success
RYOT: 1001 Arabian Nights,6/28/2025,"Saturday, June 28, 2025 at 2:00pm",,4,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/28/2025,2:00 PM,Success
RYOT: 1001 Arabian Nights,6/28/2025,"Saturday, June 28, 2025 at 7:00pm",,4,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/28/2025,7:00 PM,Success
RYOT: 1001 Arabian Nights,6/28/2025,"Sunday, June 29, 2025 at 1:00pm",,4,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/29/2025,1:00 PM,Success
RYOT: 1001 Arabian Nights,6/28/2025,"Sunday, June 29, 2025 at 4:00pm",,4,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/29/2025,4:00 PM,Success
Pictures on the Plaza: The Sandlot,7/9/2025,"Wednesday, July 9, 2025 at 8:30pm",,1,FALSE,Cinema,Plaza,,FALSE,TRUE,TRUE,07/09/2025,8:30 PM,Success
The Wizard of Oz,7/26/2025,"Saturday, July 26, 2025 at 7:30pm",,4,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,07/26/2025,7:30 PM,Success
The Wizard of Oz,7/26/2025,"Sunday, July 27, 2025 at 2:30pm",,4,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,07/27/2025,2:30 PM,Success
The Wizard of Oz,7/26/2025,"Saturday, August 2, 2025 at 7:30pm",,4,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,08/02/2025,7:30 PM,Success
The Wizard of Oz,7/26/2025,"Sunday, August 3, 2025 at 2:30pm",,4,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,08/03/2025,2:30 PM,Success
Kennedy Center Summer Institute,8/6/2025,(9:00am–12:00pm for K–2 Teachers),,2,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,08/06/2025,Manual Fix,Check
Kennedy Center Summer Institute,8/6/2025,(1:00pm–4:00pm for 3–8 Teachers),,2,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,08/06/2025,Manual Fix,Check
Kennedy Center Summer Institute,8/6/2025,"Wednesday, August 6, 2025 at 9:00am",,2,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,08/06/2025,9:00 AM,Success
Pictures on the Plaza: Paddington 2,8/13/2025,"Wednesday, August 13, 2025 at 8:30pm",,1,FALSE,Cinema,Plaza,,FALSE,TRUE,TRUE,08/13/2025,8:30 PM,Success
"38th Annual T.S.I.A.
(Third Saturday in August)",8/16/2025,"Saturday, August 16, 2025 at 8:00pm",,1,FALSE,Rental,Main Stage,,FALSE,TRUE,TRUE,08/16/2025,8:00 PM,Success
Ghostlight Cabaret: Kelly Knowlton,9/5/2025,"Friday, September 5, 2025 at 7:30pm",,1,FALSE,Innovation,Ghostlight,,FALSE,TRUE,TRUE,09/05/2025,7:30 PM,Success
Mansfield Youth Theatre: Matilda Jr.,9/12/2025,"Friday, September 12, 2025 at 7:00pm",,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,09/12/2025,7:00 PM,Success
Mansfield Youth Theatre: Matilda Jr.,9/12/2025,"Saturday, September 13, 2025 at 1:00pm",,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,09/13/2025,1:00 PM,Success
Mansfield Youth Theatre: Matilda Jr.,9/12/2025,"Saturday, September 13, 2025 at 7:00pm",,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,09/13/2025,7:00 PM,Success
Mansfield Youth Theatre: Matilda Jr.,9/12/2025,"Sunday, September 14, 2025 at 2:30pm",,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,09/14/2025,2:30 PM,Success
"Mansfield Symphony:
Classical Mansfield
—A Free Community Concert",9/20/2025,"Saturday, September 20, 2025 at 7:30pm",,1,FALSE,Symphony,Main Stage,,FALSE,TRUE,TRUE,09/20/2025,7:30 PM,Success
FJ: A Tribute to Foreigner & Journey,9/26/2025,"Friday, September 26, 2025 at 7:30pm",,1,FALSE,Concert,Main Stage,,FALSE,TRUE,TRUE,09/26/2025,7:30 PM,Success
"Kaleidoscope Series
presents Dr. Lerone Martin",10/2/2025,"Thursday, October 2, 2025 at 5:30pm",,1,FALSE,Kaleidoscope,Main Stage,,FALSE,TRUE,TRUE,10/02/2025,5:30 PM,Success
Dracula,10/3/2025,"Friday, October 3, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/03/2025,7:30 PM,Success
Dracula,10/3/2025,"Saturday, October 4, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/04/2025,7:30 PM,Success
Are You Ready For It? A Taylor Experience,10/4/2025,"Saturday, October 4, 2025 at 7:30pm",,1,FALSE,Concert,Main Stage,,FALSE,TRUE,TRUE,10/04/2025,7:30 PM,Success
Dracula,10/3/2025,"Sunday, October 5, 2025 at 2:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/05/2025,2:30 PM,Success
“Differentiating Literacy Learning Through Storytelling” with Sherry Norfolk,10/7/2025,"Tuesday, October 7, 2025 at 4:30pm",,1,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,10/07/2025,4:30 PM,Success
Dracula,10/3/2025,"Thursday, October 9, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/09/2025,7:30 PM,Success
Dracula,10/3/2025,"Friday, October 10, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/10/2025,7:30 PM,Success
"Teddy Bear Concert:
The Three Little Wolves",10/11/2025,"Saturday, October 11, 2025 at 2:30pm",,1,FALSE,Education,Library,,FALSE,TRUE,TRUE,10/11/2025,2:30 PM,Success
Dracula,10/3/2025,"Saturday, October 11, 2025 at 4:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,10/11/2025,4:30 PM,Success
